SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
ADANIENT,"2,920.00","1,154","2,930.10","2,931.70","30","-","-","10.10","0.35","2,930.10","978","0.29","87,721.37","-","-","3,245.00","1,753.00"
TVSMOTOR,"4,033.00","93","4,050.00","4,054.20","9","-","-","17.00","0.42","4,050.00","705","0.29","94,872.12","-","-","4,484.50","3,228.00"
TRENT,"2,769.70","871","2,760.00","2,769.00","110","-","-","-9.70","-0.35","2,760.00","1,033","0.29","91,580.35","-","-","3,498.67","2,183.67"
LAURUSLABS,"1,905.50","2","1,894.60","1,898.00","30","-","-","-7.50","-0.39","1,898.00","1,491","0.28","73,702.56","-","-","1,981.80","823.10"
POLYCAB,"8,121.50","33","8,130.00","8,150.00","76","-","-","8.50","0.10","8,130.00","331","0.27","43,368.12","-","-","10,126.00","6,663.00"
DMART,"3,720.00","192","3,700.10","3,701.40","1","-","-","-19.90","-0.53","3,700.10","709","0.26","59,459.78","-","-","4,818.00","3,529.00"
FORTIS,"870.30","48","876.00","877.00","23","-","-","6.70","0.77","877.00","2,941","0.26","45,574.34","-","-","1,104.30","766.80"
HCLTECH,"1,253.00","319","1,242.20","1,242.50","234","-","-","-10.80","-0.86","1,242.20","2,066","0.26","1,30,596.99","-","-","1,780.10","1,030.00"
PERSISTENT,"5,440.00","206","5,400.00","5,410.00","79","-","-","-30.00","-0.55","5,410.00","460","0.25","58,623.81","-","-","6,599.00","4,244.50"
BAJAJ-AUTO,"11,593.00","13","11,560.00","11,568.00","77","-","-","-25.00","-0.22","11,568.00","215","0.25","1,25,615.13","-","-","12,470.00","8,491.50"
DRREDDY,"1,140.00","1,774","1,140.00","1,144.00","10","-","-","-","-","1,140.00","2,130","0.24","69,298.78","-","-","1,414.90","1,101.00"
BHEL,"410.60","2,625","411.60","411.70","7","-","-","0.95","0.23","411.55","5,819","0.24","59,825.97","-","-","446.50","229.12"
SAIL,"173.55","6,372","173.00","173.05","100","-","-","-0.55","-0.32","173.00","13,505","0.23","24,940.37","-","-","209.70","124.00"
ANGELONE,"293.50","58","292.50","292.60","210","-","-","-0.60","-0.20","292.90","7,934","0.23","18,989.90","-","-","360.45","208.63"
TITAN,"4,908.50","29","4,891.50","4,895.00","82","-","-","-13.50","-0.28","4,895.00","473","0.23","2,01,532.45","-","-","5,186.70","3,303.10"
RADICO,"4,466.00","24","4,450.00","4,452.50","7","-","-","-16.00","-0.36","4,450.00","520","0.23","34,775.82","-","-","4,747.00","2,500.00"
BANKBARODA,"234.98","359","233.60","233.81","3","-","-","-1.38","-0.59","233.60","9,869","0.23","43,217.16","-","-","325.50","232.33"
LTF,"295.50","500","295.20","295.30","1,726","-","-","-0.20","-0.07","295.30","7,446","0.22","25,131.49","-","-","338.60","234.90"
LUPIN,"2,045.00","2","2,052.50","2,052.60","362","-","-","7.60","0.37","2,052.60","1,035","0.21","49,712.00","-","-","2,529.50","1,900.00"
COALINDIA,"422.25","471","421.10","421.35","45","-","-","-1.15","-0.27","421.10","4,937","0.21","1,00,584.19","-","-","491.25","369.60"
GMRAIRPORT,"92.46","6,386","92.46","92.97","2,500","-","-","-","-","92.46","21,386","0.20","32,816.38","-","-","115.64","84.11"
TECHM,"1,558.00","150","1,545.10","1,550.00","16","-","-","-12.90","-0.83","1,545.10","1,263","0.20","97,860.53","-","-","1,854.00","1,304.10"
BOSCHLTD,"47,555.00","10","47,600.00","47,740.00","3","-","-","185.00","0.39","47,740.00","40","0.19","41,297.90","-","-","50,000.00","28,610.00"
CANBK,"123.20","100","123.11","123.15","456","-","-","-0.05","-0.04","123.15","15,450","0.19","41,274.02","-","-","162.89","112.51"
ASHOKLEY,"156.50","586","156.90","156.95","111","-","-","0.39","0.25","156.89","12,005","0.19","44,766.36","-","-","215.42","133.99"
OIL,"487.60","25","484.55","485.00","619","-","-","-2.60","-0.53","485.00","3,882","0.19","26,378.06","-","-","531.00","393.00"
INDHOTEL,"713.40","21","713.00","713.40","587","-","-","-","-","713.40","2,613","0.19","62,471.20","-","-","791.45","565.00"
HINDUNILVR,"1,962.00","386","1,962.00","1,964.00","50","-","-","-","-","1,962.00","936","0.18","1,73,578.80","-","-","2,667.20","1,926.20"
SBICARD,"618.10","603","616.00","618.10","189","-","-","-2.10","-0.34","616.00","2,974","0.18","18,216.78","-","-","965.00","565.45"
NTPC,"327.00","200","327.50","327.80","1,575","-","-","0.80","0.24","327.80","5,562","0.18","1,54,970.09","-","-","414.40","315.55"
POWERGRID,"262.80","250","263.20","263.50","1,562","-","-","0.70","0.27","263.50","6,867","0.18","1,18,993.69","-","-","324.95","250.00"
FEDERALBNK,"341.80","505","341.80","342.00","944","-","-","0.20","0.06","342.00","5,254","0.18","84,228.86","-","-","371.70","189.05"
KPITTECH,"555.00","7","556.00","556.20","809","-","-","1.20","0.22","556.20","3,215","0.18","9,096.43","-","-","1,328.00","543.00"
BIOCON,"374.40","35","374.00","374.05","101","-","-","-0.40","-0.11","374.00","4,769","0.18","26,752.72","-","-","447.15","337.05"
TATAPOWER,"360.40","50","360.10","360.40","444","-","-","-","-","360.40","4,895","0.18","59,944.02","-","-","464.90","342.50"
TATAELXSI,"3,373.00","1","3,372.00","3,373.00","152","-","-","-","-","3,373.00","515","0.17","11,581.68","-","-","5,950.00","3,353.90"
INDUSINDBK,"946.50","2,100","945.20","946.00","382","-","-","-0.50","-0.05","946.00","1,834","0.17","62,134.30","-","-","1,077.85","710.60"
GODREJPROP,"1,665.30","4","1,662.70","1,664.00","2","-","-","-1.30","-0.08","1,664.00","1,041","0.17","22,441.76","-","-","2,352.00","1,434.00"
JSWSTEEL,"1,248.90","30","1,248.10","1,248.90","69","-","-","-","-","1,248.90","1,369","0.17","1,16,812.13","-","-","1,351.00","1,073.20"
VBL,"410.40","2,981","411.00","411.55","1","-","-","0.60","0.15","411.00","4,131","0.17","56,041.05","-","-","555.80","381.00"
ASIANPAINT,"2,416.60","24","2,424.00","2,425.00","255","-","-","7.40","0.31","2,424.00","700","0.17","1,09,313.20","-","-","2,985.70","2,115.00"
UNOMINDA,"1,186.00","1","1,181.00","1,183.00","259","-","-","-2.20","-0.19","1,183.80","1,404","0.17","21,472.04","-","-","1,382.00","994.00"
ADANIENSOL,"1,349.20","21","1,346.00","1,346.80","500","-","-","-3.20","-0.24","1,346.00","1,227","0.17","44,875.72","-","-","1,789.00","803.10"
GLENMARK,"2,410.00","5","2,405.00","2,406.60","149","-","-","-3.20","-0.13","2,406.80","669","0.16","36,140.55","-","-","2,537.60","1,792.60"
NMDC,"80.32","1,295","80.41","80.47","9","-","-","0.09","0.11","80.41","19,278","0.16","27,714.85","-","-","97.49","72.24"
DELHIVERY,"421.80","5","422.00","422.60","65","-","-","0.80","0.19","422.60","3,619","0.15","23,614.00","-","-","524.00","374.45"
NAUKRI,"1,256.00","242","1,247.00","1,255.00","100","-","-","-9.00","-0.72","1,247.00","1,191","0.15","47,612.53","-","-","1,433.60","908.30"
FORCEMOT,"17,383.00","1","17,350.00","17,370.00","210","-","-","-13.00","-0.07","17,370.00","80","0.14","8,343.41","-","-","26,450.00","14,911.00"
CROMPTON,"223.40","1,691","223.10","223.40","33","-","-","-0.30","-0.13","223.10","6,055","0.14","14,292.29","-","-","319.00","217.40"
